取り戻そ,1
取り扱い,1
取る,1
取扱,2
取扱い,1
受け,1
受け継い,1
可動,2
可愛い,4
可愛く,2
可能,26
台紙,1
史上,1
右折,1
各種,1
合っ,1
合わせ,9
合体,6
合計,1
吉本,1
吊り,1
同じ,3
同盟,1
名物,1
名車,1
名門,1
向かお,1
向き,1
向く,1
向け,4
向上,2
含ま,11
吸い上げ,1
吹い,1
吹き,1
吹き矢,1
吹き飛び,1
吹こ,1
周り,3
味わえる,3
呼ぼ,1
商品,51
問わ,1
問題,1
喜び,3
喜劇,1
囚われ,1
四角,1
回す,1
回る,1
回転,7
囲む,1
図書,1
図書館,1
固く,1
固まる,2
固める,1
固定,1
国内,1
国産,1
国際,1
土台,2
土地,1
土曜日,3
圧倒的,1
地上,1
地図,1
地面,5
城塞,1
城壁,1
基地,1
基本,6
基礎,2
場合,54
塗っ,1
塗料,1
増し,1
声色,1
変える,1
変わっ,1
変わり,1
変化,1
変形,7
変更,51
変身,6
変速,3
夕暮れ,1
外し,1
外側,2
外野,1
多く,2
多少,1
夢中,1
大き,1
大きい,1
大きく,4
大きな,9
大人,4
大人気,24
大地,1
大型,4
大変,1
大好き,12
